"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","62","65","1","0.000000","0","65"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","7","7","1","7.326546","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","87","87","1","142.222748","0","87"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1341","1364","1","2809.729492","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","61","66","6","74.557610","0","66"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","12","12","1","17.398121","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","13","13","1","12.132509","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","33.249485","0","29"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","31","33","1","31.185574","0","33"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","60","66","3","65.918648","0","66"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","50","50","1","151.157486","0","50"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","50","50","1","146.778717","0","50"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","71","71","1","139.565857","0","71"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","28","1","37.082935","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","12","12","1","14.473247","0","12"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","10","11","1","13.620133","0","11"
"/ControlRig/M_Manip.M_Manip","49","10","11","1","13.229898","0","11"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","5.270542","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","5","5","1","4.465723","0","5"
